Type,Country,Plot Name,Latitude,Longitude,Protocol,Instrument,Timeseries,Lead Investigator,Forest type,Status,Start Date
PLS,Belgium,BOS001LF01,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Planned & Funded,August 2024
PLS,Belgium,BOS001LF02,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Planned & Funded,August 2024
PLS,Belgium,BOS002LF01,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,August 2024
PLS,Belgium,BOS002LF02,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,August 2024
PLS,Belgium,BOS003LF01,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate mixed,Operational,April 2024
PLS,Belgium,BOS003LF02,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate mixed,Operational,April 2024
PLS,Belgium,BOS004LF01,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate,Operational,April 2024
PLS,Belgium,BOS004LF02,51.1630068,5.3102232,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate,Operational,April 2024
PLS,Germany,BER001LF01,47.6337471,13.0007223,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,July 2024
PLS,Germany,BER001LF02,47.6337471,13.0007223,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,July 2024
PLS,Germany,BER002LF01,47.6337471,13.0007223,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,July 2024
PLS,Germany,BER002LF02,47.6337471,13.0007223,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,July 2024
PLS,French Guiana,Guyaflux,5.2787,-52.9248,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,November 2023
PLS,French Guiana,Guyaflux,5.2787,-52.9248,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,November 2023
PLS,French Guiana,Guyaflux,5.2787,-52.9248,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,November 2023
PLS,Germany,Demmin,53.92,12.96,StrucNet (fixed),LEAF MKII,Yes,Benjamin Brede,Temperate,,
PLS,Germany,Hainich,51.07,10.45,StrucNet (fixed),LEAF MKII,Yes,Benjamin Brede,Temperate,,
PLS,The Netherlands,Loobos,52.16,6,StrucNet (fixed),LEAF MKII,Yes,Harm Bartholomeus,Temperate,Under repair,March 2022
PLS,The Netherlands,Loobos,52.16,6,StrucNet (fixed),LEAF MKII,Yes,Harm Bartholomeus,Temperate,Planned & Funded,March 2022
PLS,UK,Wytham Woods,51.77,-1.33,StrucNet (fixed),LEAF MKII,Yes,Niall Origo,Temperate deciduous,Operational,
PLS,UK,Wytham Woods,51.77,-1.33,StrucNet (fixed),LEAF MKII,Yes,Niall Origo,Temperate deciduous,Operational,
PLS,USA,SERC/NEON,38.89,-76.55,StrucNet (fixed),LEAF MKII,Yes,John Armston,Mid-Atlantic coastal hardwood deciduous forest.,Operational,
PLS,Finland,Evo,61.19,25.11,StrucNet (fixed),LEAF MKIII,Yes,Mikko Vastaranta,Boreal coniferous,Planned & Funded,Planned & Funded
PLS,Finland,Evo,61.19,25.11,StrucNet (fixed),LEAF MKIII,Yes,Mikko Vastaranta,Boreal coniferous,Planned & Funded,Planned & Funded
PLS,Finland,Evo,61.19,25.11,StrucNet (fixed),LEAF MKIII,Yes,Mikko Vastaranta,Boreal coniferous,Planned & Funded,Planned & Funded
PLS,Australia,Starvation Creek,-37.71,145.81,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,December 2023
PLS,Australia,Starvation Creek,-37.71,145.81,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,December 2023
PLS,Australia,Starvation Creek,-37.71,145.81,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,December 2023
