Name,Datetime,Longitude,Latitude,Protocol,Area,Group,Instrument,Angular Resolution,Pulse Rate,Light,Wind,Survey Control,Description,Open,Image,QSM
BE_HI_T1,2018-07-04T00:00:00,5.9,50.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_HI_T2,2018-07-04T00:00:00,5.9,50.9,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_HI_T3,2018-07-04T00:00:00,5.9,50.8,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_LO_T1,2018-07-10T00:00:00,3.8,51.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_LO_T2,2018-07-10T00:00:00,3.9,51.1,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light-medium,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_LO_T3,2018-07-09T00:00:00,3.8,51.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_ME_T1,2018-07-06T00:00:00,5.3,50.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_ME_T2,2018-07-06T00:00:00,5.3,50.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
BE_ME_T3,2018-07-06T00:00:00,5.3,50.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
Bois_de_Lauzelles_ICP,2018-03-14T00:00:00,4.602852,50.680549,double_square_12pos,1,Ghent University,RIEGL VZ1000,0.04,300,unknown,light-medium,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Bois_de_Lauzelles_Pinus,2017-12-02T00:00:00,4.5972,50.6794,uniform_20m_0.48ha,0.48,Ghent University,RIEGL VZ1000,0.04,300,unknown,none,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2018a,2018-02-09T00:00:00,3.709295,51.053271,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Platanus x acerifolia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2018b,2018-02-09T00:00:00,3.712142,51.048887,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Tilia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2019a,2018-12-13T00:00:00,3.708983,51.054172,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Platanus x acerifolia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2019b,2018-12-13T00:00:00,3.709589,51.054252,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Platanus x acerifolia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2019c,2018-12-14T00:00:00,3.714565,51.047094,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none-light,multiple_targets,City trees (Tilia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Coupure2019d,2018-12-14T00:00:00,3.714996,51.047425,both_sides_of_tree_row,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,City trees (Platanus x acerifolia),contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
CS_LO_T1,2018-06-27T00:00:00,17.6,59.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
CS_LO_T2,2018-06-27T00:00:00,17.1,59.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light-medium,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
CS_LO_T3,2018-06-27T00:00:00,17.2,59.3,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
De_Mick,2018-02-21T00:00:00,4.5481,51.3109,uniform_20m_0.16ha,0.16,Ghent University,RIEGL VZ1000,0.04,300,unknown,none,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Doeveren_larix,2018-07-11T00:00:00,3.187421,51.120683,star_5_trees,0,Ghent University,RIEGL VZ400,0.04,300,unknown,unknown,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Doeveren_larix,2018-12-30T00:00:00,3.187421,51.120683,star_5_trees,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Doeveren_pinus,2018-07-11T00:00:00,3.189311,51.124095,star_5_trees,0,Ghent University,RIEGL VZ400,0.04,300,unknown,unknown,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
Doeveren_pseudotsuga,2018-07-11T00:00:00,3.185566,51.121198,star_5_trees,0,Ghent University,RIEGL VZ400,0.04,300,unknown,unknown,multiple_targets,temperate coniferous,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
DRO_CRANE,2018-08-08T00:00:00,145.446111,-16.1028167,uniform10m_1ha + above panels,1,Ghent University,RIEGL VZ400,0.04,300,unknown,light-medium,multiple_targets,Wet Tropics,contact:kim.calders@ugent.be,,Yes
Galmaarden,2018-02-16T00:00:00,3.9617,50.7217,uniform_20m_0.36ha,0.36,Ghent University,RIEGL VZ1000,0.04,300,unknown,none-light,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
GE_LO_T1,2018-05-28T00:00:00,8.7,53.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,none,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
GE_LO_T2,2018-05-28T00:00:00,8.7,53.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
GE_LO_T3,2018-05-28T00:00:00,8.6,53.5,edge_core_transect_100m_5scans,0,Ghent University,RIEGL VZ400,0.04,300,unknown,light,tilt_upright,Deciduous forest;approximate location,contact:kim.calders@ugent.be;Pieter.DeFrenne@UGent.be,,No
ICOS_Fon_CP1,2019-01-03T00:00:00,2.780292,48.476366,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
ICOS_Fon_CP2,2019-01-04T00:00:00,2.780292,48.476366,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,light-medium,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
ICOS_Fon_CP3,2019-01-04T00:00:00,2.780292,48.476366,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
ICOS_Fon_CP4,2019-01-03T00:00:00,2.780292,48.476366,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
ICOS_HoH_CP1,2019-01-10T00:00:00,11.222366,52.086565,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
ICOS_HoH_CP4,2019-01-10T00:00:00,11.222366,52.086565,ICOS_protocol_v1,0.2,Ghent University,RIEGL VZ400,0.04,300,unknown,none,multiple_targets,temperate broadleaf,contact:miro.demol@uantwerpen.be;miro.demol@ugent.be,,Yes
