Type,Country,Plot Name,Latitude,Longitude,Start Date,Protocol,Instrument,Timeseries,Lead Investigator,Forest type,Status,Comments
PLS,Belgium,BOS001LF01,51.16,5.31,2025-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,
PLS,Belgium,BOS001LF02,51.16,5.31,2025-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,
PLS,Belgium,BOS002LF01,51.16,5.31,2025-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,
PLS,Belgium,BOS002LF02,51.16,5.31,2025-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate coniferous,Operational,
PLS,Belgium,BOS003LF01,51.16,5.31,2024-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate mixed,Operational,
PLS,Belgium,BOS003LF02,51.16,5.31,2024-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate mixed,Operational,
PLS,Belgium,BOS004LF01,51.16,5.31,2024-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate mixed,Operational,
PLS,Belgium,BOS004LF02,51.16,5.31,2024-04,StrucNet (fixed),LEAF MKIII,Yes,Kim Calders,Temperate broadleaf,Operational,
PLS,Germany,BER001LF01,47.63,13.00,2024-10,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,
PLS,Germany,BER001LF02,47.63,13.00,2024-10,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,
PLS,Germany,KROOFLEAF1,48.42,11.66,2025-04,StrucNet (fixed),LEAF MKIII,Yes,Cornelius Senf,Temperate,Operational,
PLS,Germany,LWF,47.363011, 8.454374,2026-01,StrucNet (fixed),LEAF MKIII,Yes,Daniel Kükenbrink,Temperate mixed,Operational, Previously KROOFLEAF2 since 2025-04
PLS,French Guiana,Guyaflux,5.28,-52.92,2023-11,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,
PLS,French Guiana,Guyaflux,5.28,-52.92,2023-11,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,
PLS,French Guiana,Guyaflux,5.28,-52.92,2023-11,StrucNet (fixed),LEAF MKIII,Yes,Benjamin Brede,Wet tropics,Operational,
PLS,Germany,Hainich,51.07,10.45,,StrucNet (fixed),LEAF MKII,Yes,Benjamin Brede,Temperate,Planned & Funded,
PLS,The Netherlands,Loobos,52.16,6,,StrucNet (fixed),LEAF MKII,Yes,Harm Bartholomeus,Temperate,Operational,
PLS,The Netherlands,Loobos,52.16,6,,StrucNet (fixed),LEAF MKII,Yes,Harm Bartholomeus,Temperate,Operational,
PLS,UK,Wytham Woods,51.77,-1.33,2022-03,StrucNet (fixed),LEAF MKII,Yes,Harry Morris,Temperate deciduous,Operational,
PLS,UK,Wytham Woods,51.77,-1.33,2022-03,StrucNet (fixed),LEAF MKII,Yes,Harry Morris,Temperate deciduous,Operational,
PLS,USA,SERC/NEON,38.89,-76.55,,StrucNet (fixed),LEAF MKII,Yes,John Armston,Mid-Atlantic coastal hardwood deciduous forest,Operational,
PLS,Australia,Starvation Creek,-37.71,145.81,2023-12,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,
PLS,Australia,Starvation Creek,-37.71,145.81,2023-12,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,
PLS,Australia,Starvation Creek,-37.71,145.81,2023-12,StrucNet (fixed),LEAF MKIII,Yes,Patrick Baker,Mixed species Eucalyptus forest,Operational,
PLS,Australia,Bago Forest,-35.65, 148.1,2021-07,StrucNet (fixed),LEAF MKII,Yes,Darius Culvenor,Tumbarumba Wet Eucalypt,Operational,
PLS,Australia,Whroo,-36.6, 145.02,2022-11,StrucNet (fixed),LEAF MKII,Yes,Darius Culvenor,Whroo Dry Eucalypt,Operational,
PLS,Australia,Wombat Forest,-37.42, 144.1,2022-08,StrucNet (fixed),LEAF MKII,Yes,Darius Culvenor,Wombat Stringybark Eucalypt,Operational,
PLS,Australia,Northern Territory,-12.7, 130.99,2021-07,StrucNet (fixed),LEAF MKII,Yes,Shaun Levick,Territory Wildlife Park,Operational,
PLS,Australia,Western Australia,-30.13, 120.38,2024-04,StrucNet (fixed),LEAF MKIII,Yes,Caitlin Moore,Great Western Woodlands,Operational,
PLS,Australia,Western Australia,-31.38, 115.71,2021-01,StrucNet (fixed),LEAF MKII,Yes,Caitlin Moore,Gingin Banksia Woodland,Operational,
PLS,Australia,Western Australia,-32.47, 116.86,2020-09,StrucNet (fixed),LEAF MKII,Yes,Caitlin Moore,Boyagin Wandoo Woodland,Operational,
PLS,Germany, ECO-01, 48.25, 7.90, 2025-05, StrucNet (fixed),LEAF MKIII,Yes,Teja Kattenborn,Temperate mixed,Operational,
PLS,Germany, ECO-01, 48.25, 7.90, 2025-05, StrucNet (fixed),LEAF MKIII,Yes,Teja Kattenborn,Temperate mixed,Operational,
PLS,Germany, ECO-01, 48.25, 7.90, 2025-05, StrucNet (fixed),LEAF MKIII,Yes,Teja Kattenborn,Temperate mixed,Operational,
PLS,Germany, ECO-01, 48.25, 7.90, 2025-05, StrucNet (fixed),LEAF MKIII,Yes,Teja Kattenborn,Temperate mixed,Operational,
PLS,Germany, HAR-01, 47.85, 7.57, 2025-05, StrucNet (fixed),LEAF MKIII,Yes,Teja Kattenborn,Temperate mixed,Operational,
