Name,Datetime,Longitude,Latitude,Protocol,Area,Group,Instrument,Angular Resolution,Pulse Rate,Light,Wind,Survey Control,Description,Open,Image,QSM
Ferguson-Fire_401,2018-07-20T00:00:00,-119.7385,37.53777,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_401,2018-08-22T00:00:00,-119.7385,37.53777,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_402,2018-07-20T00:00:00,-119.7385,37.53505,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_402,2018-08-22T00:00:00,-119.7385,37.53505,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_403,2018-07-20T00:00:00,-119.7321,37.5253,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_403,2018-08-22T00:00:00,-119.7321,37.5253,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Ferguson-Fire_405,2018-07-21T00:00:00,-119.7128,37.54648,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Humboldt-Toyabe_313,2018-08-28T00:00:00,-120.0126,39.52523,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Humboldt-Toyabe_313,2018-08-29T00:00:00,-120.0126,39.52523,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_1,2017-05-31T00:00:00,-120.6572,39.77959,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_1,2017-08-29T00:00:00,-120.6572,39.77959,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_1,2018-06-06T00:00:00,-120.6572,39.77959,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_10,2017-05-24T00:00:00,-121.2492,39.71329,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_10,2017-08-24T00:00:00,-121.2492,39.71329,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_10,2018-05-16T00:00:00,-121.2492,39.71329,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_11,2017-06-06T00:00:00,-121.0147,39.57145,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_11,2017-09-06T00:00:00,-121.0147,39.57145,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_11,2018-05-24T00:00:00,-121.0147,39.57144,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_12,2017-06-06T00:00:00,-121.183,39.69071,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_12,2017-09-05T00:00:00,-121.183,39.69071,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_12,2018-05-15T00:00:00,-121.183,39.69074,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_13,2018-05-31T00:00:00,-121.0097,39.95985,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_13,2017-06-12T00:00:00,-121.0096,39.95985,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_13,2017-09-12T00:00:00,-121.0096,39.95985,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_14,2017-06-06T00:00:00,-120.9952,39.58664,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_14,2017-09-05T00:00:00,-120.9952,39.58664,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,,Contact:jgreenberg@unr.edu,,No
Plumas_14,2018-05-21T00:00:00,-120,38.01637,grid_0.16ha,0.16,NASA CMS 3D Change,RIEGL VZ400i,unknown,unknown,unknown,unknown,multiple_targets,very dense plot. difficult to stitch scans together.,Contact:jgreenberg@unr.edu,,No
